Church,Organizations,People,Title,AccountLongName,CurrentValue,LastYearValue,InvestmentType
2158790,"","","MOUNT PISGAH MISSION","MOUNT PISGAH MISSION ENDOWMENT FUND",31639.82,29086.91,DIVERSIFIE
2158790,"","","MOUNT PISGAH BLDG FU","MOUNT PISGAH BUILDING ENDOWMENT FUND",35379.83,30996.68,DIVERSIFIE
2158790,"","","MOUNT PISGAH GENERAL","MOUNT PISGAH GENERAL ENDOWMENT FUND",218985.59,198523.71,DIVERSIFIE
2165503,"","","FIRST HENDERSON PERM","FIRST UMC OF HENDERSONVILLE PERMANENT ENDOWMENT FUND",64867.88,57429.82,"BAL FUND"
2165503,"","","FIRST HENDERSON TIPP","FIRST UMC OF HENDERSONVILLE ALICE TIPPETT MEMORIAL MISSIONS FUND",242688.47,225921.54,"BAL FUND"
2165503,"","","FIRST HENDERSON VOGT","FIRST UMC OF HENDERSONVILLE IDA ELEANOR VOGT",166041.62,147002.4,"BAL FUND"
2165503,"","","FIRST HENDERSON MART","FIRST HENDERSONVILLE UMC DAN AND ANNE MARTIN HONORARIUM ENDOWMENT FUND",16964.84,15019.62,"BAL FUND"
2165503,"","","FIRST HENDERSON ESTE","FIRST UMC OF HENDERSONVILLE UNRESTRICTED ESTATE FUND (CONSERVATIVE)",104590.38,96374.53,CONSERV
2165503,"","","FIRST HENDERSON DEV","FIRST UMC HENDERSONVILLE DEVELOPMENT FUND",878440.79,865229.34,"DEVEL FD"
2165508,"","","BRIGHT HOPE MINISTER","BRIGHT HOPE LAUREL UMC MINISTERIAL FUND",40064.01,35100.52,DIVERSIFIE
2165508,"","","BRIGHT HOPE SPECIAL","BRIGHT HOPE LAUREL UMC SPECIAL NEEDS FUND",18227.11,15968.99,DIVERSIFIE
2165508,"","","BRIGHT HOPE GENERAL","BRIGHT HOPE LAUREL UMC GENERAL FUND",26852.66,35106.8,DIVERSIFIE
2165508,"","","BRIGHT HOPE LAUREL","BRIGHT HOPE LAUREL UMC ED & BETTY MARTIN MEMORIAL FUND",91957.16,83411.32,DIVERSIFIE
2165508,"","","BRIGHT HOPE DEV FUND","BRIGHT HOPE LAUREL UMC - DEVELOPMENT FUND",119650.22,117850.72,"DEVEL FD"
2165524,"","",LIBERTYUMC,"LIBERTY UMC CEMETERY AT HIDDENITE FUND",13493.56,12298.27,DIVERSIFIE
2165564,"","","WIGHTMAN UMC","WIGHTMAN UNITED METHODIST CHURCH",1119.6,1102.76,"DEVEL FD"
2165570,"","","TRINITY UMC","TRINITY UMC DEVELOPMENT FUND",30839.14,30375.35,"DEVEL FD"
2165590,"","","ACTON UMC ENDOW","ACTON UNITED METHODIST CHURCH ENDOWMENT FUND",12869.24,11274.89,DIVERSIFIE
2165590,"","","ACTON UMC","LONG MINISTERIAL EDUCATION DEVELOPMENT FUND OF ACTON UMC",52644.76,54417.44,"DEVEL FD"
2165591,"","","ABERNETHY PERMANENT","ABERNETHY UMC PERMANENT FUND",105016.97,92006.47,DIVERSIFIE
2165591,"","","ABERNETHY PARSON BAL","ABERNETHY UMC PARSONAGE BALANCED",92578.42,81975.33,"BAL FUND"
2165591,"","","ABERNETHY PARSON CON","ABERNETHY UMC PARSONAGE CONSERVATIVE",164962.69,152029.36,CONSERV
2165591,"","","ABERNETHY UMC","ABERNETHY UMC",25790.57,25402.7,"DEVEL FD"
2165591,"","","ABERNETHY PARSONAGE","ABERNETHY UMC DEVELOPMENT FUND (PARSONAGE)",5973.7,44305.88,"DEVEL FD"
2165592,"","","ASBURY CLERGY HOUSIN","ASBURY MEMORIAL UMC - CLERGY HOUSING FUND",380468.89,344242.35,DIVERSIFIE
2165592,"","","ASBURY CEMETERY","ASBURY MEMORIAL UMC CEMETERY PERPETUAL FUND",65001.92,58657.13,DIVERSIFIE
2165592,"","","ASBURY CRITICAL","ASBURY MEMORIAL UNDESIGNATED BEQUESTS",75587.09,66058.96,DIVERSIFIE
2165594,"","","BILTMORE UMC ENDOW","BILTMORE UMC  ENDOWMENT FUND",38615.68,33831.64,DIVERSIFIE
2165594,"","","BILTMORE UMC REA","BILTMORE UMC REA FUND",33382.08,29246.43,DIVERSIFIE
2165594,"","","BILTMORE UMC","BILTMORE UMC MIKE WILLIAMS FUND",54437.37,47693.18,DIVERSIFIE
2165597,"","","EMMA UMC","EMMA UNITED METHODIST CHURCH",105460.88,116224.61,"BAL FUND"
2165598,"","","GROCE ENDOWMENT","GROCE UMC ENDOWMENT FUND",24464.25,21433.41,DIVERSIFIE
2165600,"","","ST PAUL'S BALLARD","ST. PAUL'S UMC  ASHEVILLE BALLARD MEMORIAL",4571.08,4145.72,DIVERSIFIE
2165600,"","","ST PAUL'S BOLICK MEM","ST. PAUL'S UMC ASHEVILLE BOLICK MEMORIAL",9907.88,8680.45,DIVERSIFIE
2165600,"","","ST PAUL ASHV GENERAL","ST. PAUL'S GENERAL ENDOWMENT",76638.6,66944.41,DIVERSIFIE
2165600,"","","ST PAUL'S WHITT","ST PAUL'S UMC SONYA RAYNETTE WHITT MEMORIAL FUND",12088.54,10592.26,DIVERSIFIE
2165603,"","","BALD CREEK UMC CMTRY","BALD CREEK UMC CEMETERY FUND",14050.59,11347.41,DIVERSIFIE
2165604,"","","BALFOUR UMC","BALFOUR UMC INVESTMENT FUND",56924.31,49872.01,DIVERSIFIE
2165611,"","","FIRST UMC BREVARD","FIRST UNITED METHODIST CHURCH FOUNDATION-BREVARD",60097.09,54899.39,DIVERSIFIE
2165611,"","","FIRST UMC BREV BOESH","FIRST UMC FOUNDATION BREVARD-BARBARA BOESHAAR",61499.64,56125.17,DIVERSIFIE
2165611,"","","FIRST UMC BREV MCDON","FIRST UMC FDN BREVARD-H MCDONALD UNRESTRICTED",46582.73,42539.88,DIVERSIFIE
2165611,"","","FIRST UMC BREV WATT","FIRST UMC FOUNDATION BREVARD-WATT EDUCATIONAL",12316.13,11220.95,DIVERSIFIE
2165611,"","","FIRST UMC BREV HINA","THE PEGGY LEE HINA CHRISTIAN EDUC SCHOLARSHIP",65398.45,53432.7,DIVERSIFIE
2165611,"","","FIRST UMC BREV RANCH","FIRST UMC FDN BREVARD-RANCH SCHOLARSHIP JAMES & ANNETTE FURR PHILMONT RANCH SCHOLARSHIP",154058.48,134638.54,DIVERSIFIE
2165611,"","","FIRST UMC BREV TRUST","FIRST UNITED METHODIST CHURCH FOUNDATION-BREVARD TRUSTEE'S FUND",61169.09,55836.25,DIVERSIFIE
2165613,"","","ETOWAH UMC","ETOWAH UMC",143406.35,101296.16,"DEVEL FD"
2165619,"","","PLEASANT HILL CEME","PLEASANT HILL CEMETERY",44607.39,39081.07,DIVERSIFIE
2165619,"","","PLEASANT HILL ENDOW","PLEASANT HILL - ENDOWMENT",29961.45,26249.56,DIVERSIFIE
2165619,"","","PLEASANT HILL TAY","PLEASANT HILL TAYLOR BENEVOLENT",15406.11,13497.48,DIVERSIFIE
2165619,"","","PLEASANT HILL TAY","PLEASANT HILL TAYLOR PERMANENT",16202.46,14500.6,DIVERSIFIE
2165628,"","","ST TIMOTHY UMC","ST TIMOTHY UNITED METHODIST CHURCH BREVARD",57049.84,52699.08,CONSERV
2165628,"","","ST TIMOTHY BREVARD","ST TIMOTHY UMC OF BREVARD GENERAL ENDOWMENT FUND",48748.02,42708.64,DIVERSIFIE
2165631,"","","FLETCHER UMC","FLETCHER UMC DEVELOPMENT FUND",48366.35,47638.94,"DEVEL FD"
2165631,"","","FLETCHER SONSHINE PS","FLETCHER UMC SONSHINE PRESCHOOL",8283.95,8159.37,"DEVEL FD"
2165633,"","","FRANCIS ASBURY UMC","FRANCIS ASBURY UNITED METHODIST CHURCH",44193.59,43528.94,"DEVEL FD"
2165645,"","","HILL'S CHAPEL UMC","HILL'S CHAPEL UNITED METHODIST CHURCH",377085.95,371414.72,"DEVEL FD"
2165645,"","","HILL'S CHAPEL UMC","HILL'S CHAPEL UMC CEMETERY TRUST FUND",57147.87,56288.39,"DEVEL FD"
2165645,"","","HILL'S CHAPEL UMC","HILL'S CHAPEL UMC CEMETERY FUND",116508.66,114756.4,"DEVEL FD"
2165654,"","","SALEM UMC CEMETERY","SALEM UNITED METHODIST CEMETERY FUND",32964.14,30043.47,DIVERSIFIE
2165663,"","","PISGAH UMC","PISGAH UMC DEVOPMENT FUND",50340.12,50086.48,"DEVEL FD"
2165664,"","","SPARTA UMC ORGAN","SPARTA UMC ORGAN & MUSIC FUND",1061.01,929.61,DIVERSIFIE
2165664,"","","SPARTA UMC BROWN","SPARTA UMC BROWN MEMORIAL FUND",6504.31,5698.53,DIVERSIFIE
2165664,"","","SPARTA UMC CHEEK","SPARTA UNITED METHODIST CHURCH CHEEK FUND",5969.73,5230.21,DIVERSIFIE
2165664,"","","SPARTA UMC HALSEY","SPARTA UNITED METHODIST CHURCH HALSEY FUND",177396.47,155418.79,DIVERSIFIE
2165664,"","","SPARTA UMC PASTOR'S","SPARTA UMC- PASTOR'S HOUSING FUND",133400.98,124639.75,DIVERSIFIE
2165664,"","","SPARTA UMC BUILDING","SPARTA UMC- BUILDING FUND",3864.18,3389.77,DIVERSIFIE
2165672,"","","WILKESBORO UMC HOME","SPECIAL CATEGORY A: HOME MISSIONS WILKESBORO UMC",55409.79,48545.15,DIVERSIFIE
2165672,"","","WILKESBORO UMC GROWT","WILKESBORO UMC GROWTH OF MEMBERSHIP FUND",9825.03,8607.85,DIVERSIFIE
2165672,"","","WILKESBORO UMC MISSI","WILKESBORO UMC MISSIONS BEYOND THE CHURCH",8595.46,7530.62,DIVERSIFIE
2165672,"","","WILKESBORO UMC CAPIT","WILKESBORO UMC CAPITAL IMPROVEMENTS FUND",8701.55,7623.61,DIVERSIFIE
2165672,"","","WILKESBORO UMC EDU","WIKESBORO UMC EDUCATIONAL SCHOLARSHIPS FUND",9722.65,8518.14,DIVERSIFIE
2165672,"","","WILKESBORO UMC GENER","WILKESBORO UMC GENERAL ENDOWMENT FUND",12468.86,10924.16,DIVERSIFIE
2165672,"","","WILKESBORO UMC","SPECIAL CATEGORY A, HOME MISSIONS WILKESBORO UMC, INC. DEVELOPMENT FUND",4975.02,4900.18,"DEVEL FD"
2165672,"","","WILKESBORO UMC GROWT","GROWTH OF MEMBERSHIP IN THE LOCAL CHURCH WILKESBORO UMC",749.07,737.8,"DEVEL FD"
2165672,"","","WILKESBORO UMC BEYON","MISSIONS BEYOND THE LOCAL CHURCH AND COMMUNITY WILKESBORO UMC",749.07,737.8,"DEVEL FD"
2165672,"","","WILKESBORO UMC IMPRO","CAPITAL IMPROVEMENTS WILKESBORO UMC",749.07,737.8,"DEVEL FD"
2165672,"","","WILKESBORO UMC SCHOL","EDUCATIONAL SCHOLARSHIPS WILKESBORO UMC",749.07,737.8,"DEVEL FD"
2165672,"","","WILKESBORO UMC ENDOW","GENERAL ENDOWMENT WILKESBORO UMC",749.07,737.8,"DEVEL FD"
2165674,"","","LONGTOWN UMC","LONGTOWN UNITED METHODIST CHURCH",1126,1109.07,"DEVEL FD"
2165678,"","","FIRST ST GENERAL","FIRST STREET UMC- ALBEMARLE GENERAL",12870.63,11276.14,DIVERSIFIE
2165679,"","","UNION CHAPEL UMC","UNION CHAPEL UMC ALBEMARLE",107955.51,106331.89,"DEVEL FD"
2165682,"","","PINE GROVE ALBEMARLE","PINE GROVE UMC/DAVID HINSON FUND",133685.68,119123.84,DIVERSIFIE
2165682,"","","PINE GROVE CEMETERY","PINE GROVE UMC ALBEMARLE CEMETERY FUND",85665.37,76030.37,"BAL FUND"
2165685,"","","FUMC LEXINGTON MOFFI","FIRST UNITED METHODIST CHURCH LEXINGTON MOFFITT SCHOLARSHIP",233606.45,211580.05,DIVERSIFIE
2165688,"","","FUMC LIBERTY","FIRST UMC LIBERTY",202736.57,184997.86,DIVERSIFIE
2165691,"","","LINWOOD UMC","LINWOOD UMC",140031.17,114033.91,"ALL EQUITY"
2165699,"","","REEVES CHAPEL","REEVES CHAPEL UMC CEMETERY FUND",83890.35,81827.41,DIVERSIFIE
2165699,"","","REEVES CHAPEL BLDG","REEVES CHAPEL BUILDING FUND",860.35,9998.86,DIVERSIFIE
